start	end	text
298069	299449	Se lo pensaba seriamente.
301330	303450	Por ahí andaban colectiveros, por ejemplo.
305032	331187	Pero también estaba periodista, digo, pero también como si yo fuera periodista no lo logré, no quise finalmente hacerlo, pero ahí estaba un poco todo, parecía, no es que estaba eligiendo, no, no, estaba preparándome a recibir lo imprevisible, y así fue, así fue mi, mis...
332609	339242	anhelos, mis vocaciones se desarrollaron de manera imprevisible.
340406	347491	Y lograste muchas. O sea, de hecho, algo que te quería preguntar es para vos, yo creo que
347511	353275	sos un artista, porque vos podés escribir, vos podés hacer radio, vos podés entretener,
353295	361120	vos podés hacer reír, podés hacer música. Es como... O sea, eso tiene cierto riesgo,
361141	364143	¿viste? La posibilidad de hacer un todo es como un malabarista chino, o sea, capaz de
364163	365484	muchos platillos al mismo tiempo.
368067	373591	quisiera que la lista no fuera tan extensa, porque si no tendrían razón mestilla, que
373611	384118	decían que el que mucho abarca, etcétera, y si no hubo algo venido a darme la razón,
385599	392564	cierta situación que se da en el posmodernismo, que es que hay una articulación de distintas
392604	394866	habilidades que quizá no existía antes.
397069	400431	Y hoy no estoy seguro de que baste un mero pianista.
402352	404413	Hay que articularlo con alguna otra cosa.
404433	413298	Y esa característica de la posmodernidad, de algún modo,
413318	417580	me evita las recriminaciones de mis tías.
418160	419481	Pero no así las mías.
420722	428225	que creo que, efectivamente, en alguna de estas disciplinas no puede alcanzar la preparación
428245	429205	correspondiente.
430105	435286	O sea, ¿te vino bien el aura posmoderna para poder excusarte un poquito de ciertas definiciones?
435306	436327	Sí, está bien eso.
437067	443549	Puedo admitir que tiene cierta gracia, pero a mí me hubiera gustado ser un poco más
443569	446930	adiestro en alguna de estas disciplinas, pero a lo mejor...
448071	452638	El riesgo de esa profundización hubiera sido tener que borrar alguna.
452758	453820	Claro, lógicamente.
454140	455843	En el que borrar algunos cariños, claro.
458209	460950	Yo soy más esto y a veces incursión o...
460970	461991	Escribir seguramente.
462131	462551	Escribir.
462631	464271	Sí, pues yo me preparo para eso, sí.
464812	465232	Escribir.
465772	468013	Vos ves, segunda confesión.
468593	469934	A mí me pasa algo con la literatura.
470734	475996	Yo me autopercibo un escritor, el tema es que no tengo evidencias para comprobarlo.
476016	480157	O sea, no puedo agarrar y decir, miren lo que escribí, no tengo nada, me cuesta,
480197	481718	estoy tratando de escribir en este momento.
482118	484319	No está bien, lleva su tiempo.
485100	486121	Me parece muy difícil.
486501	487221	Claro que es difícil.
487241	488462	Claro, sí.
488922	489743	Me parece...
490263	490883	Lo hablaba a la vez...
490903	492765	Pero está bien que lo sientas como difícil.
493445	493865	Está bien.
494045	496287	Es que es peligroso creer que algo es fácil.
498588	501830	Imaginárteme una garra y se puede escribir lo primero que le sale.
502310	504252	Y como ya he recibido el todo uno que es fácil,
505512	508534	piensa que debe salirse en dificultad.
508594	513097	Y entonces se contenta con lo primero que sale.
516343	526847	Yo creo que la virtud de un escritor recibe mucho en su propia desconfianza.
527887	529348	El escritor tiene ese desconfiado.
530949	537291	Así empieza a leer de nuevo, a fijarse si todas las palabras apuntan para el mismo lado.
537871	538892	Vamos a corregir.
540432	544654	El escritor que está demasiado confiado, que tiene muchos amigos que le dicen que es genial,
546216	548738	Enseguida se contenta con lo que ha hecho.
549639	555204	¿Y a vos te pasa escribiendo que capaz te peleas con el texto con lo que escribís?
555344	559908	Sí, me pego con todo. Yo sufro mucho cuando escribo porque no logro lo que quiero.
562130	569777	Entonces ahí estoy peleándome, consultando, borrando.
571542	577776	repintiéndome, hasta que después vienen mis editores y me amenazan con.
579021	584444	un juicio tremendo, entonces ahí voy y publico cosas como esa.
585405	588227	Muy bueno, muy bueno, o a vos, o a vos no te parece.
588287	590468	No, a mí me parece que me parece que está bien.
591029	594090	Mal haría yo en decir, no, me parece que no, o pierda bien.
594111	595812	Me parece que puedo hacer algo mejor que eso.
595832	597913	Bueno, si puedes hacer algo mejor, porque no lo haces.
597953	598413	Hacelo.
598533	600434	Hacelo, que vas a menos.
601115	602756	No, eso es lo mejor que yo puedo hacer.
603136	603737	Esto es lo mejor.
603757	604957	Sí, lo mejor que yo puedo hacer.
605238	607319	Todo es lo mejor que yo puedo hacer, lamento decir.
608361	610341	Si pudiera hacer algo mejor, pues lo haría.
611281	613282	Bueno, eso es excelente también, o sea, haber ido a fondo,
613302	616423	tener como la certeza de decir, acá yo hice lo mejor.
616443	617103	Que esto es yo, sí.
617683	619804	No se trata de mucho más que eso, en última instancia.
619824	621165	Claro, claro.
621445	623685	Yo me pasa vista a veces escribiendo que
624306	627327	me cuesta mucho que algo resista a mi propio juicio pasado el tiempo.
627367	630087	A veces siento que estoy en un racha de inspiración y lo leo a los dos meses y digo...
630107	632808	Yo no le tengo miedo al juicio de los demás.
633970	637532	al juicio de los académicos.
638132	643275	Mira, los académicos menos porque mezcudo también en algo que me gusta mucho,
644016	645737	algo que decía Macedonio Fernández,
645757	650760	viste, sobre el academicismo extenuante de la época, que él quería ser una legato
650800	655063	propasión en contra de como agarrarí y romper esas cosas, viste.
655743	657705	Esas cosas me inspiran a mí, me encantaría.
659107	662509	Esto ya es muchísimo. Me encantaría poder formar parte de la constelación de aquello
662529	666652	a lo que admiro, ¿viste? Ya es como un montón. Pero en esas personas, en esas personas que
666672	673016	un poco se cagan en esas cosas, yo encuentro admiración y empatía. Entonces, si vos me
673036	676618	decís, los académicos no sé. Yo creo que para los académicos yo voy a describir mal.
676638	678699	Yo creo que describo mal, por ejemplo.
678560	679761	Me gusta que hago todo esto sin tener nada,
679782	682684	para vosotros tengo un papel escrito, es todo abstracto.
683044	685146	Pero está bien decidir ser escritor,
685566	689110	autopersibirse como un escritor antes de escribir.
689390	690911	Exacto, en ese proceso estoy.
690931	693353	¿Qué es esto de tener que andar escribiendo libros?
693694	697337	No, no, yo aporto a la caja de escritores.
697819	704783	Voy a las reuniones de la S.A.D., me postulo para las listas en sus selecciones internas
705263	711626	y contesto cuando me preguntan en la calle la policía que soy escritor. Ya tendré
711646	717590	tiempo a escribir. Exactamente, te mentiría si te dijera no, no me importa lo que digan,
717730	723713	me importa lo que digan algunas personas. Entonces, ¿por qué me da miedo la escritura?
723733	725254	Yo siento que me expone de verdad.
726316	728477	Te soy completamente honesto. ¿Hacer esto, por ejemplo?
728697	732020	Esto, para mí, tiene como un grado de facilidad mayor.
732040	733401	Los siento más natural, los siento...
733661	734861	Perentorio, los siento como...
734902	735782	Pero es más fácil.
736042	736743	Más fácil.
736823	739565	La radio es extraordinaria.
739625	741866	Nosotros vamos a un horario todos los días.
742246	744568	Hay unos amigos, nos rellemos un poco.
745028	746809	Seguimos el tono, hay una conversa.
746829	749751	Es más fácil conversar que escribir la divina comedia.
750212	750532	Vamos.
752634	762318	La escritura, no, la escritura no tiene eso, tiene, en principio, una soledad aterradora y una complejidad, finalmente,
762739	768501	que es mayor que está de conversar y de armar más o menos bien al sujeto si predicados.
768781	775524	Exacto, en el libro de hecho se juega lo mismo que decís vos, en el libro, si yo hago un proceso, lo concluyo, lo termino, lo publico,
775544	777365	de verdad significa que es lo mejor que puedo hacer.
778266	781168	Y ahí sí, si a la persona que me importa su opinión me dice,
781508	783269	la verdad que es una cagada lo que hiciste,
783369	786130	eso es de verdad donde intente ir a fondo.
786230	786491	Claro.
786751	787971	Y ahí mostrarás las costillas.
787991	789992	Yo siento eso, que la escritura te desnuda en serio.
790313	792034	La radio estaba haciendo un chiste, bueno,
792074	793935	fue un programa de una vez, qué sé yo.
794055	796656	Creo que la radio es así, tiene una...
797096	801198	Libia Andá, que le es inerente, pero está bien.
802139	802579	Está bien.
804162	807004	¿Cómo vences ese temor, entonces, escribiendo? ¿Cómo...?
807164	809286	No, no, no se ven, sí. ¿Para qué hay que vencer?
809566	810066	No se ven, sí.
810106	811668	¿Para qué hay que vencer temores?
812908	814089	Pues ya pasa con miedo.
815531	816531	No es espectacular, hay que...
816671	821796	A las cosas más graves de la vida hay que decir, aunque sea muerto de miedo,
822396	824077	si uno espera vencer los temores,
825298	831183	a veces tiene que esperar edades tan provectas como para que uno ni siquiera tenga miedo.
832825	840189	Sí, es mejor ir con el miedo juvenil que uno tiene a que lo destruyan.
840750	842611	Es que lo revienten, digamos.
842651	845652	No tiene más miedo, con el más joven tiene mucho más que perder.
847773	849975	¿Vos a qué edad escribiste crónicas del Ángel Gris?
852476	853917	No, era un señor mucho grande.
855979	856979	Y esa fue, o sea...
857480	859000	No, pero eso ya lo había escrito.
859020	862962	Las crónicas del ángel gris son una recopilación de textos
863362	866924	que yo había escrito para la revista Humor en casi todos los casos
867464	872967	y como ejercicio privado en otros.
873627	877009	La manera que al publicarse el libro los textos ya tenían como 10 años.
877289	877689	Ah, claro.
878350	879330	En algunos casos, ¿no?
879950	882312	Así que pude haberlos escrito a los 30.
884854	888958	Y lo publicé, creo, a los 40, me pareció un poquito más, tal vez.
889979	893802	Yo no estaba muy interesado en publicar libros.
894463	900028	Yo fue una ocurrencia de Andrés Casión, y me hubo que tener que hacer un libro con estas crónicas,
900048	901049	que tenés que hacer un libro.
902630	907114	Finalmente se publicó y Carrizo Antonio me dijo,
909382	912502	algo que me gustó cuando examinó el libro.
913283	915743	Y, si bueno, te diste cuenta, pero hace escrita una novela,
917344	922005	estas crónicas donde se repitan personajes,
923006	928587	donde se van trazando algunas líneas en sus conductas,
930048	935009	donde hay unos ciertos ribores que aparecen a lo largo
935029	936610	de todos los artículos que parecen,
937570	939130	en principio parecen diferentes.
940971	945573	Yo creo que dijo Antonio, que son una novela, creo que tenía razón.
946093	951794	Tienen algo de federalismo, esos artículos,
952094	954395	en la medida en que tienen su independencia propia
954975	958836	y, sin embargo, pertenecen a un corpus más grande y superior.
959796	961576	¿Y ese libro, vos, por ejemplo, decís,
961737	964937	no tenías interés en publicar o en escribir libros?
965818	968498	¿Ahí no eras un escritor o sí lo que vos...
968898	969739	Mira cómo vos.
970800	979145	Sí, yo escribía cuentos. Yo escribía, había escrito algunos cuentos y desde luego las cosas que se publicaban en la revista Humor
980106	986029	tenían a mi juicio un contenido mucho más literario que periodístico, eran ficcionales.
986730	991393	No hablaban mal de los cantores ni cosas por el estilo.
991294	995355	Lógico. Y te pasa, por ejemplo, creo que esto te lo escucho decir en algún lado,
996376	1000997	indudablemente hay un recorrido desde Crónica del Ángel Gris hasta ahora, lo que vos
1001017	1007299	podés publicar ahora. A vos te pasa que relese aquel libro y te gusta o agarrás
1007339	1015361	si decís, me esto... No sé, yo no releso mucho, pero sí, lo hago a veces.
1018743	1027884	No me gustan tanto, ¿no? No me gustan tanto como esto que escribo ahora, porque hay algunos ingenuidades,
1027904	1037086	hay otras exageraciones propias del artista joven que tiene ganas de escribir todas las palabras que sabes.
1040247	1046708	Pero bueno, tampoco reniego, no me arrepiento de los escritos, no sé qué está bien.
1046688	1050109	No, claro, lo repentino siendo de goza. Ojalá no te repentino de que hubiera eso, ¿por qué?
1050349	1053490	A veces puede ser que uno haya escrito verdaderas giladas.
1054251	1058792	En el que caso no, tal vez yo no soy tampoco mucho más astuto ahora.
1059553	1065775	Ok. A mí, por ejemplo, la impresión una a una, sí, para hablar de esa obra en particular.
1066555	1071337	Voy a hacer una segunda cita a Macedonio. No hay muchas personas a quienes yo pueda decirle esto, pero...
1073238	1080204	Yo, con la categoría hombres sensibles, refutadores de leyendas, es algo que a mí me legó un prisma
1080564	1085528	para vivir mi propia vida, ¿viste? Y yo creo que eso acá viene...
1085588	1088830	En realidad no, no es Cita Macedo, ni es Cita Borges, que agarra y dice,
1089050	1090832	creo que la he imitado hasta el más de voto plagio.
1092413	1092753	Ese...
1093974	1095635	Yo veo una evolución desde eso,
1096517	1100139	No sé si llamarlo evolución. ¿Sabes cuál es la sanción que me dio cuando leía notas al pie?
1100779	1106282	Que la escritura está acosada por cosas más terribles.
1107803	1111004	El notas al pie tiene algo que yo no sé si esto debería ser una advertencia editorial.
1111024	1113285	No sé por qué me meto en esto con Planeta. Voy a temporar con Planeta.
1113305	1117227	Pero los papeles sueltos que aparecen cada tanto,
1118449	1124693	algunos son una patada al pecho, que uno no ve venir, me acuerdo, puntualmente en este momento
1124753	1130898	dos, hay uno que si no me equivoco se llama fantasmas y es que uno sin advertirlo está
1130918	1134801	rodeado de todos los momentos de personas que conoció y amó en su vida, decirlo, me
1134821	1135321	conmueve.
1136263	1142144	Y otro que es aterrador, que es una pesadilla que va relatando como la pesadilla de un niño,
1142264	1145865	eso es otra cosa que admiro de tu pluma, creo que vos tenés una de las mejores literaturas
1146065	1148805	que evocan la ternura de la infancia.
1148845	1155407	Hay algo de narrar perspectivas de niños que yo, que soy una persona que creo que se
1155427	1159307	enreda mucho para hablar y termina hablando difícil, gran crítica de mi viejo, ya que
1159327	1162228	estoy que lo puedo citar, que siempre que le he mostrado algo me dijo, hablás difícil
1162248	1165449	al pedo, es como un rechazo, así, in totum, viste.
1167030	1172434	Es como si hay mensajes con un nivel de ternura y de pureza en esa infancia
1172835	1178679	que en este libro se conjugan con de repente despertar y descubrir que tenés 60 años,
1178699	1184764	tus viejos murieron hace ya mucho tiempo y es una serie de pesadillas sucesivas y de despertar.
1184784	1190468	Es terrible, o sea, hasta que en el último despertar el niño ya no es un niño
1190488	1194771	y su padre ya no está ganado.
1194653	1201480	todo el mundo que venía preocupándolo en el texto anterior, había desaparecido y
1201500	1202921	esto era todavía mucho peor.
1202941	1203302	¡Peor!
1203542	1204903	Lo que parecía, sí, sí.
1205103	1211970	Es peor y me dio como miedo, ¿viste?
1212090	1212691	Yo lo que veo es...
1213854	1217176	me parece que tu obra como gran parte de lo que para mí es una tradición hasta del
1217196	1220900	río de la plata, de sensibles del río de la plata, está atravesada por creer, ¿viste?
1221320	1225684	Creer, pues si uno cree o si no cree, que en cualquier nivel, si cree que las cosas van
1225724	1230428	en la pena, que no van en la pena, y este libro se puso peligroso, o sea, Crónica del
1230448	1235512	Ángel Gris a mí me hizo sentir bien, feliz, me hizo sentir, eh, Dios, qué lindo que es
1235532	1238194	todo, y este es difícil.
1239317	1242978	Y te quería preguntar con todo un recorrido a cuestas, ¿viste?
1243218	1248699	De si tu propia perspectiva del creer se ha modificado.
1248759	1254940	Claro que sí. Yo nunca he sido muy creyente ni muy optimista.
1255941	1258861	Pero entre las crónicas y este libro hay 30 años.
1263743	1270827	Ya es el paso del tiempo ya suficiente para inculcarnos a un cierto pesimismo.
1271727	1280151	Pero de todos modos a mí me parece que el pesimismo está considerado como una especie de mal humor,
1280171	1284953	insoportable, de personas a agua fiesta.
1286154	1291276	Ahí parece que no, se puede ser pesimista y sin embargo bailar arriba de las mesas.
1292637	1293297	Lo que hay...
1294159	1299220	Es que a mí me gusta que mientras bailamos sobre la mesa,
1299801	1303542	mientras yo de la música de los carnovales,
1304862	1308884	mientras disfrutamos un ambiente incluso orgiástico,
1309624	1313725	alguien me mire y me diga con la mirada,
1314485	1316746	atención que no me olvide de nada.
1318167	1319547	Pero es terrible, ¿eh?
1319587	1322228	Sí, pero es así. Yo prefiero esa clase de alegría.
1323729	1345725	La alegría del que sabe que se va a morir, del que sabe que es mortal, de que conoce que la naturaleza humana es trágica, y sin embargo se divierte, y sin embargo se divierte, y sin embargo compone milongas y baila tomando al tipo de adelante de la cintura.
1346586	1352570	Bueno, en algún punto es más poderosa también, porque es valiente.
1354232	1366399	Así dice Nietzsche en el primer capítulo del nacimiento de la tragedia, que él admira
1366419	1373762	muchísimo a los griegos y que, siendo como fueron los griegos del pueblo más admirado,
1375283	1379725	más hermoso, más inteligente.
1381208	1388375	de la historia y de la antigüedad, fueron ellos los que crearon la tragedia, fueron ellos
1388395	1396943	los que hicieron algo que no necesitaba esconder ni eludir el final trágico del ser humano,
1397323	1401447	el contrario, lo mostraban descarnadamente y con eso se divertía.
1402650	1414475	iban a ver eso, se complacían en eso, obtenían un gozo en leer esas cosas y en verlas y en
1414515	1415515	representarlas.
1418496	1423619	el opinan entonces que no es verdad que los pueblos
1425121	1429404	valientes generan historias con finales felices.
1430165	1435530	En realidad, la verdadera Valentina del arte griego está
1437071	1440033	en comprender la naturaleza trágica de la naturaleza humana
1440053	1442235	y mostrarla y disfrutar con eso.
1442756	1448461	No inventando cuentos de aadas con finales en que todos nos
1448481	1450122	encontraremos.
1449983	1453325	O sea, es bailarle en la cara al abismo, digamos.
1453365	1457066	Claro, eso es un poco compadre esa actitud, ¿no?
1457246	1459067	Hay algo, hay un desafío ahí.
1461068	1464809	Sábato le llama al abismo eso, ¿no?
1464889	1468151	En otro ejemplo, no tan parecido a este,
1468171	1473773	pero que es de la misma colección, que es el que,
1474133	1478015	estando libre de pecado, no arroja la primera piedra.
1479196	1480317	A ver, ¿cómo sería eso?
1480337	1485238	Claro. El que esté libre de pecado decía al Cristo que arroje la primera piedra.
1485978	1488239	Y él decía que una actitud de Dandis Bobaera
1488919	1492620	estar libre de pecado y sin embargo no arrojar ninguna piedra.
1493480	1493740	Claro.
1494141	1498542	Y se parece también a esta actitud del arte griego
1499902	1502003	de no querer engañarse de ninguna manera
1502663	1506064	acerca de lo trágico de su naturaleza.
1507105	1510806	no comprar ninguna, ningún cuento de consuelo.
1511387	1516568	Pareciera que eso puede, o sea, si es que se le puede asignar función al arte,
1516849	1522030	o sea que alguna utilidad tiene miles, pero si uno pudiera extraer como su esencia.
1522851	1527372	A veces pareciera que el arte, término más acralizado no sé si hay,
1527913	1532634	pero se trata un poco de eso, como de humanidad en estado puro,
1532674	1534475	como si uno pudiera inyectar su humanidad.
1535556	1543979	Pero además el arte, si es que hay que buscar una utilidad, además de eso, que es una justificación ética y estética.
1545319	1549001	El arte sirve para no morirse, en el caso del hombre.
1553782	1559164	Si el ser humano, es decirlo mejor,
1562266	1568927	No tuviera poesía ni romance ni belleza en su vida, se moriría antes, su vida sería
1568967	1578309	peor y así como se necesitan ojos, cerebro, oídos para ver, para escuchar y para anticipar
1578329	1585450	y modificar el entorno, también se necesita la posibilidad de reconocer la belleza, de
1585470	1588811	disfrutarla, de crearla, llegado el caso.
1590772	1597058	y que lo que la tiene vive peor, se muere antes, se extingue.
1598078	1599359	Bueno, vos has tenido como la...
1599720	1600941	Yo creo que has creado belleza.
1601061	1603663	Eso para mí es un montón, en términos de contribución a la humanidad.
1603783	1604704	Bueno, muchas gracias.
1604984	1605404	Por favor.
1605444	1606745	Yo no estoy tan seguro tampoco.
1606845	1608727	No, sí, sí, sí, yo te lo afirmo. Si vos no estás seguro.
1608767	1611369	Alguien se lo tiene que afirmar a otra persona y así perpetra.
1612272	1614094	A mí me lo dicen a veces, pero no les creo.
1614114	1614654	No les creo.
1615695	1622402	Yo creo que vos, independientemente de mi opinión, al menos has podido dedicarte a
1622442	1622942	hacer eso, ¿no?
1622983	1624204	Has hecho una carrera de...
1624584	1625245	Sí, claro.
1625325	1625926	Sí, sí, sí.
1626326	1626846	Y me imagino...
1626866	1631972	Pero no es eso un privilegio también, imagínate vos en un mundo en donde es difícil.
1634735	1642998	Ganarse el sustento, poder hacerlo mediante una actividad tan luminosa, tan gozosa, es un privilegio.
1644558	1652461	Privilegio que hay que agarpar haciéndolo lo mejor que uno pueda, como hemos dicho antes.
1652821	1654161	Hay tal deber también, ¿no?
1654522	1657623	Claro. No sé si llamarle deber, pero algo así.
1657703	1659003	Una responsabilidad seguro.
1659043	1660864	Ya que te pagan por escribir.
1662505	1666728	Tratar a hacerlo bien dentro de tus posibilidades, ¿qué significa tratar a hacerlo bien?
1666748	1669430	Empezar a leer lo que escribe en otro, a ver si aprendes algo.
1671572	1674594	Sí, es imposible que escriba después de esto, ¿eh? Yo creo que sí.
1674614	1679218	No, pero si estás leyendo, ya se ha empezado a escribir,
1679678	1681219	pero lo primero que hay que hacer es leer, ¿no?
1683461	1683961	Aunque...
1685102	1687344	Pero hay gente que no pasa de esa primera etapa,
1688885	1691167	pero esa primera etapa es muy venturosa.
1692309	1695530	la lectura. Mucho más venturosa que la escritura.
1696691	1698972	¿Vos recordás un momento donde...
1699472	1701773	vos laburaste varias cosas en tu vida.
1704014	1705875	Un momento donde te diste cuenta,
1706515	1711017	ché, estoy empezando a poder dedicarme a lo que amo,
1711097	1712478	si es que esos son tus términos.
1712558	1714859	Un momento como de conciencia decir,
1714899	1717300	ché, lo logré, ché.
1718240	1719441	Sí, pero fue difícil.
1720782	1721842	¿Por qué?
1722263	1724223	Porque es muy complicado.
1725284	1729446	La vida está llena de falsas apariencias,
1729466	1736028	de señales contrarias, de ambientes en los que uno
1736629	1739330	empieza a construir un edificio que no es el que quería
1739350	1739830	construir.
1742011	1745132	Uno por ahí está rodeado de personas con otros intereses,
1745632	1749454	por ahí tan valiosos como los propios, pero distintos.
1750675	1755257	En algún momento, yo me di cuenta que había encontrado,
1755277	1758577	voy a ser específico y casi técnico,
1760338	1763839	que había encontrado algo parecido, no sé si es un estilo,
1763859	1765839	pero sí a una entonación propia.
1766960	1770501	Y que fue cuando yo trabajaba en la revista Humor
1771501	1776982	y me encargaban notas cada 15 días.
1777002	1778243	Yo no cumplía casi nunca.
1779063	1781364	me atrasaba, me costaba mucho, ¿no?
1783405	1787946	Entonces, mandaban un tipo, yo trabajaba como redactor publicitario,
1789126	1793788	y Casioli mandaba a uno de sus empleados a la oficina
1793808	1796228	donde ya trabajaba de redactor publicitario,
1796929	1799389	con orden de no regresar si no era con la nota.
1800129	1800670	Excelente.
1801110	1803630	Entonces, el tipo separaba atrás, yo empezaba a escribirla,
1803750	1805291	o continuaba escribiéndola,
1807272	1811133	Y por ahí le decía, bueno, decirle que mañana se la entrego, no, dice el último.
1811633	1813434	Me dijo que no me fuera, hasta que no me la di.
1813454	1815375	Se la extraían a la fuerza, o sea, a la nota.
1815495	1817095	Bueno, me la extraían al recuerdo.
1818255	1827778	Pero ahí, de tanto no tener ideas, de tanto querer cumplir sin poder hacerlo,
1830437	1834559	Se me ocurrió que podía utilizar algunas cosas que yo había escrito
1834580	1838822	con una intención más artística, y que tenía guardadas.
1838842	1843385	Yo tenía guardado algunos cuentos, incluso una especie de proyecto de novelas
1845147	1848069	que tenía ahí en unos cuadernos.
1850250	1853692	Y claro, como no se me ocurría nada, tomaba algunos,
1853752	1857675	empecé a tomar algunos de esos fragmentos, los disfrazaba,
1857695	1859316	le daba una forma salística quizá.
1860838	1862078	y se los mandaba a Casioli.
1862218	1862678	Excelente.
1862738	1867699	Y un día dije, no, pero es esto lo que yo tengo que hacer.
1868459	1869419	Porque ahí estaba yo.
1871380	1874240	Quiero decir, sentí que eso era una entonación propia.
1874800	1877040	Qué es lo más que uno, a lo que uno puede aspirar.
1877481	1883802	Cada escritor no puede ser una revolución.
1885542	1887402	Algo que nunca se ha hecho, no.
1887802	1890222	Afán de originalidad no conduce a nada.
1891424	1897908	Pero tener apenas por un rato un asento propio eso se puede.
1898108	1901391	Y ahí es donde, por casualidad, lo conseguí, creo.
1901771	1903612	¿Y vos esas cosas las escribías para vos?
1903872	1905173	O sea, las tenías.
1905273	1908896	Aquellas que yo estaba saqueando las escribí para mí en su momento, sí.
